query_id,model,provider,condition,run,latency_ms
Q20,qwen-2.5-coder-32b,openrouter,with_rerank,1,69.3
Q20,qwen-2.5-coder-32b,openrouter,with_rerank,2,53.92
Q20,qwen-2.5-coder-32b,openrouter,with_rerank,3,53.03
Q1,qwen-2.5-coder-32b,openrouter,without_rerank,1,43.75
Q1,qwen-2.5-coder-32b,openrouter,without_rerank,2,45.01
Q1,qwen-2.5-coder-32b,openrouter,without_rerank,3,42.84
Q2,qwen-2.5-coder-32b,openrouter,without_rerank,1,56.75
Q2,qwen-2.5-coder-32b,openrouter,without_rerank,2,58.3
Q2,qwen-2.5-coder-32b,openrouter,without_rerank,3,58.09
Q3,qwen-2.5-coder-32b,openrouter,without_rerank,1,35.18
Q3,qwen-2.5-coder-32b,openrouter,without_rerank,2,37.24
Q3,qwen-2.5-coder-32b,openrouter,without_rerank,3,36.83
Q4,qwen-2.5-coder-32b,openrouter,without_rerank,1,43.02
